alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,10,2232,40094,5,9,7
0,3,2886,25607,6,6,7
0,5,29781,56247,8,12,8
0,6,2659,57433,6,7,5
0,0,30312,58398,8,8,4
0,9,42330,34076,8,6,5
0,15,8107,55760,10,8,13
0,13,28120,34885,9,5,9
0,12,9099,37372,7,9,7
0,5,2724,36121,5,7,10
0,8,36414,49395,9,8,10
0,6,27588,17244,8,7,8
0,5,20634,6424,6,5,7
0,3,53674,794,8,5,11
0,9,59826,25356,9,6,10
0,8,64963,29675,11,11,9
0,15,1010,44425,7,8,6
0,8,19227,10413,8,7,6
0,11,4645,22479,5,11,0
0,13,53787,16000,8,6,6
0,7,64898,16900,9,3,7
0,9,35638,818,8,5,7
0,10,44772,60438,9,8,6
0,12,26048,34862,6,6,6
0,12,49777,36859,7,12,5
0,1,26844,22295,8,9,5
0,9,8683,15285,8,10,3
0,0,57999,63167,9,13,10
0,2,39635,726,9,6,7
0,7,29978,42865,8,9,10
0,13,36366,5361,7,7,4
0,8,17157,60188,5,9,5
0,5,35052,54826,7,8,8
0,14,1335,13827,7,6,10
0,8,56573,3646,12,8,13
0,6,14452,35248,7,6,10
0,5,19730,64616,6,9,6
0,3,12030,3382,11,7,12
0,7,44027,31851,12,10,7
0,10,13839,46612,8,7,8
0,11,28326,9940,9,7,6
0,4,49771,60164,8,7,8
0,5,24973,28897,7,7,10
0,0,29881,5833,9,7,7
0,7,12870,52028,6,9,6
0,14,21848,22387,7,10,10
0,0,9180,49968,8,6,8
0,8,58624,3907,5,7,8
0,8,39585,8019,7,9,0
0,10,15711,37511,11,7,6
0,11,53549,624,8,4,6
0,12,14385,49170,6,4,7
0,0,27405,4885,8,6,11
0,0,36244,41812,7,7,8
0,13,5395,34499,6,7,9
0,7,59100,4216,10,5,8
0,11,9823,23331,9,8,1
0,9,5944,19746,7,6,7
0,14,19655,25218,8,5,8
0,11,8903,42020,7,5,13
0,5,5128,28533,3,11,13
0,2,29210,4920,7,6,8
0,3,41048,27216,5,6,8
0,10,58276,57189,8,11,9
0,11,14598,32852,6,4,10
0,7,61640,14664,7,6,1
0,1,62456,12981,11,8,5
0,5,54659,58267,8,10,12
0,15,21424,33531,7,9,9
0,13,42544,50200,6,5,8
0,9,59462,3937,7,7,10
0,11,29525,38703,9,10,7
0,8,60126,11475,11,8,0
0,5,27113,31064,9,8,7
0,4,58819,5076,9,7,3
0,15,61310,40406,13,10,8
0,2,17539,61344,5,9,11
0,7,52159,56133,12,9,11
0,8,2885,4213,6,6,1
0,0,15302,22892,9,8,8
0,12,25393,65180,7,11,7
